id,primarySchoolEnrollment,secondarySchoolEnrollment,femalePrimaryCompletionRate,malePrimaryCompletionRate,malePrimaryCompletionRate,totalPublicSpendingOnEducation,adultFemaleLiteracyRate,adultMaleLiteracyRate,youthFemaleLiteracyRate,youthMaleLiteracyRate,maleChildrenOutOfPrimarySchool,femaleChildrenOutOfPrimarySchool,femaleAdolescentsOutOfPrimarySchool
57,Mexico,2013,109.4414825,93.3275528,109.9265518,108.9388123,4.696050167,92.90393829,95.11210632,98.60191345,98.52684021,null,null,4.309810162
58,Mexico,2014,108.0057526,97.34338379,110.774292,110.2519302,5.257470131,93.59133911,95.62046814,99.07946014,98.92221069,null,null,3.068730116
59,Mexico,2015,106.6061096,100.8327408,105.0175323,104.805809,5.229420185,93.48549652,95.54933167,99.01495361,98.8735199,null,null,1.999359965
60,Mexico,2016,106.2777328,102.4040604,104.0164719,103.9240265,4.90681982,93.96852112,95.84481812,99.20722961,99.02591705,null,null,2.737570047
61,Mexico,2017,105.7700119,104.3850327,104.3209686,103.8832779,4.518219948,94.16575623,95.87236786,99.16837311,99.08129883,null,null,5.105110168
62,Mexico,2018,105.0280685,105.103363,102.6292801,101.8975372,4.254429817,94.60804749,96.23290253,99.38847351,99.24864197,null,null,6.784939766
63,Mexico,2019,104.6558228,104.6472397,103.2503433,101.7138596,null,null,null,null,null,null,null,6.444469929
64,Mexico,2020,null,null,null,null,null,94.49513245,96.05874634,99.17141724,98.99363708,null,null,null
65,Niger,2005,48.35649109,9.631489754,22.9840107,35.60361862,null,15.08413982,42.92736816,23.19742966,52.44952011,65.73558807,51.88679886,85.82805634
66,Niger,2006,48.98725891,11.04808998,25.48982048,38.65404892,2.558520079,null,null,null,null,64.31678772,50.66931152,null
67,Niger,2007,51.37997055,10.59879017,30.93663979,46.50577927,3.014620066,null,null,null,null,62.88042831,49.74980927,83.1235199
68,Niger,2008,55.2114296,10.91361046,30.96519089,43.59632874,2.723119974,null,null,null,null,58.97422028,46.79003906,83.9587326
69,Niger,2009,59.01190186,11.43198967,32.86037827,46.18741989,3.335880041,null,null,null,null,55.22306061,42.90576172,84.21443176
70,Niger,2010,62.70835876,13.04246998,34.00812912,45.15419006,2.721950054,null,null,null,null,51.26453018,38.66656113,82.10620117
71,Niger,2011,66.51894379,13.88327026,37.61721039,50.86676025,3.077620029,null,null,null,null,46.6155014,33.84292984,82.45749664
