id,nameyear,peopleUsingBasicDrinkingWaterServices,peoplePracticingOpenDefecation,peopleUsingBasicSanitationServices,peopleUsingSafeSanitationServices,ruralPeopleUsingBasicSanitationServices,urbanPeopleUsingBasicSanitationServices,peopleWithBasicHandwashingFacilities,ruralPeopleWithBasicHandwashingFacilities,urbanPeopleWithBasicHandwashingFacilities,maleUnemploymentRate,femaleUnemploymentRate,totalUnemploymentRate,yearsOfMaternalLeave
50,Mali,2006,null,81.90430977,15.8207364,23.5713536,10.07965255,15.25776984,40.57935571,null,null,null,null,0,null
51,Mali,2007,null,82.90485737,14.9663647,24.982076,10.7673983,16.57653442,41.58409452,null,null,12.77000046,10.57999992,0,null
52,Mali,2008,null,83.90546518,14.12205598,26.42048985,11.46107647,17.93443595,42.60104687,null,null,null,null,0,null
53,Mali,2009,null,84.90613319,13.28889115,27.88463013,12.15677504,19.33147442,43.63021274,null,null,null,null,0,null
54,Mali,2010,null,85.9068614,12.46764187,29.37283026,12.85689472,20.76764983,44.67159216,null,null,11.10999966,6.039999962,0,null
55,Mali,2011,null,86.90764982,11.6585056,30.88418517,13.56074692,22.24296219,45.7251851,null,null,null,null,0,null
56,Mali,2012,null,87.90849844,10.86164766,32.41780818,14.26768035,23.7574115,46.79099158,null,null,null,null,0,null
57,Mali,2013,null,88.90940727,10.07720255,33.9728243,14.97708308,25.31099775,47.86901159,null,null,8.239999771,4.550000191,0,null
58,Mali,2014,null,89.9103763,9.305148874,35.54860433,15.68827712,26.90372095,48.95924514,16.17723713,9.120374815,6.300000191,6.440000057,0,27.12441149
59,Mali,2015,null,90.91140553,8.545702303,37.14408722,16.40083107,28.53558109,50.06169222,16.32036872,9.120374815,8.739999771,6.860000134,0,27.12441149
60,Mali,2016,null,91.91249497,7.798794424,38.7586803,17.11413871,30.20657817,51.17635283,16.46296063,9.120374815,1.299999952,1.419999957,0,27.12441149
61,Mali,2017,null,92.91364461,7.064355973,40.39179278,17.82759777,31.9167122,52.30322698,16.60501226,9.120374815,8.340000153,6.650000095,0,27.12441149
62,Mali,2018,null,93.91485445,6.342511519,42.04244608,18.53257096,33.66598318,53.44231465,16.74616454,9.120374815,1.559999943,1.669999957,0,27.12441149
63,Mali,2019,null,94.9161245,5.633056458,43.71028764,19.22903769,35.4543911,54.59361587,16.88659658,9.120374815,null,null,0,27.12441149
64,Mali,2020,null,95.91745475,4.93614394,45.39420987,19.9246421,37.28193596,55.75713061,17.02576795,9.120374815,null,null,0,27.12441149
65,Mexico,2005,40.35948897,96.60292525,6.910224385,81.27377788,23.87717464,62.36085428,87.14583541,null,null,3.900000095,3.359999895,0,null
66,Mexico,2006,40.5640574,96.89332254,6.413280454,82.07830717,25.87350566,64.00811634,87.59351893,null,null,3.880000114,3.380000114,0,null
67,Mexico,2007,40.76641554,97.18390312,5.923779375,82.87293106,27.90436423,65.6456319,88.04201393,null,null,3.99000001,3.410000086,0,null
68,Mexico,2008,40.96669575,97.47192479,5.441312933,83.65830449,29.96951033,67.27340096,88.49132043,null,null,4.03000021,3.779999971,0,null
69,Mexico,2009,41.16482643,97.72787166,4.966066408,84.43419231,32.0685671,68.89142351,88.9414384,null,null,5.349999905,5.360000134,0,null
70,Mexico,2010,41.36089371,97.98381853,4.497791888,85.20102819,34.20129298,70.49969957,89.39236786,null,null,5.179999828,5.369999886,0,null
71,Mexico,2011,41.55507773,98.23976541,4.035972895,85.95971004,36.3676703,72.09822913,89.84410881,89.66001526,83.50700895,5.130000114,5.190000057,0,91.38427265
72,Mexico,2012,41.74726437,98.49571228,3.58092129,86.70980432,38.56730401,73.6870122,90.29666125,89.68317442,83.50700895,4.880000114,4.889999866,0,91.38427265
73,Mexico,2013,41.93753836,98.75165915,3.132406947,87.45178303,40.80011597,75.26604876,90.75002516,89.70633655,83.50700895,4.960000038,4.889999866,0,91.38427265
74,Mexico,2014,42.12589627,99.00760603,2.69042959,88.18573213,43.06591674,76.83533882,91.20420057,89.72949429,83.50700895,4.849999905,4.789999962,0,91.38427265
75,Mexico,2015,42.31228861,99.2635529,2.255108509,88.91148404,45.36435171,78.39488239,91.65918746,89.75249473,83.50700895,4.449999809,4.230000019,0,91.38427265
76,Mexico,2016,42.49678317,99.51949977,1.826280678,89.62944687,47.69541008,79.94467945,92.11498583,89.77550185,83.50700895,3.910000086,3.829999924,0,91.38427265
77,Mexico,2017,42.67933349,99.77544665,1.404019929,90.33947554,50.0587208,81.48473002,92.57159569,89.79834169,83.50700895,3.599999905,3.309999943,0,91.38427265
78,Mexico,2018,42.84912192,100.0,0.988233853,91.04184497,52.45421467,83.01503408,93.02901704,89.82111114,83.50700895,3.430000067,3.190000057,0,91.38427265
79,Mexico,2019,42.93896105,100.0,0.351365143,91.73666093,54.88172246,84.53559165,93.48724987,89.84379235,83.50700895,3.50999999,3.450000048,0,91.38427265
80,Mexico,2020,43.02628491,100.0,0.096456614,92.42406261,57.34110284,86.04640272,93.94629419,null,null,4.099999905,4.670000076,0,null
81,Niger,2005,null,90.90455255,78.4450149,7.901511602,9.256826745,3.804920627,29.02712842,7.123087085,2.817739176,2.700000048,3.400000095,0,29.32523791
82,Niger,2006,null,90.5645543,77.77598644,8.401596097,9.814903939,4.136747876,30.40136422,8.208276197,3.99542571,null,null,0,29.93981952
83,Niger,2007,null,90.22464425,77.10694127,8.8936197,10.3579956,4.455250072,31.79521247,9.293510821,5.173112244,null,null,0,30.55440113
84,Niger,2008,null,89.8848224,76.43858532,9.377293422,10.8858509,4.760427214,33.20867318,10.37854224,6.350798778,null,null,0,31.16898274
85,Niger,2009,null,89.54508875,75.76950653,9.853170088,11.39895417,5.052279303,34.64174635,11.46387169,7.528485312,null,null,0,31.78356434
86,Niger,2010,null,89.2054433,75.1004118,10.32097412,11.897061,5.330806337,36.09443197,12.54924695,8.706171846,null,null,0,32.39814595
