,precision,recall,f1-score,support
high,1.0,1.0,1.0,10.0
low,1.0,0.8571428571428571,0.923076923076923,14.0
medium,0.8571428571428571,1.0,0.923076923076923,12.0
accuracy,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
macro avg,0.9523809523809524,0.9523809523809524,0.9487179487179486,36.0
weighted avg,0.9523809523809523,0.9444444444444444,0.9444444444444444,36.0
