id,country,year,femaleLifeExpectancy,maleLifeExpectancy,totalLifeExpectancy,netMigration,ageDependencyRatio,povertyHeadcountRatio,populationGrowth,ruralPopulationGrowth,urbanPopulationGrowth,populationSize,averageAge,infantMortalityRate
43,Mali,2005,52.683,51.429,52.057,null,99.18885423,null,3.233033028,2.120606642,5.632144158,12775509.0,53259.0
44,Mali,2006,53.461,52.212,52.839,null,99.91012402,41.7,3.29427272,2.151469407,5.673725985,13203378.0,53252.0
45,Mali,2007,54.173,52.926,53.553,-100823.0,100.4333891,null,3.337340341,2.169277573,5.685290302,13651455.0,53146.0
46,Mali,2008,54.812,53.566,54.193,null,100.7858825,null,3.329120338,2.130486915,5.65517898,14113578.0,52968.0
47,Mali,2009,55.375,54.127,54.756,null,100.9606994,41.1,3.261128285,2.038692933,5.551358564,14581427.0,52666.0
48,Mali,2010,55.871,54.62,55.251,null,100.9364307,null,3.15863382,1.917943442,5.403143331,15049352.0,52286.0
49,Mali,2011,56.326,55.065,55.701,null,101.7300743,45.4,3.044613109,1.786753111,5.242566982,15514593.0,51817.0
50,Mali,2012,56.769,55.491,56.135,-302449.0,102.1517831,null,2.952508522,1.67862741,5.103184949,15979492.0,51282.0
51,Mali,2013,57.225,55.922,56.578,null,102.2766096,47.1,2.90104517,1.612346256,5.003841478,16449854.0,50721.0
52,Mali,2014,57.7,56.364,57.036,null,102.1915066,46.9,2.901941159,1.598066874,4.958870859,16934213.0,50154.0
53,Mali,2015,58.194,56.818,57.509,null,101.934633,47.2,2.935998977,1.619898176,4.943969248,17438772.0,49591.0
54,Mali,2016,58.695,57.275,57.987,null,101.5171005,46.8,2.975435448,1.64684045,4.936534482,17965448.0,49075.0
55,Mali,2017,59.185,57.718,58.452,-200000.0,100.9554716,44.9,2.999198671,1.657858154,4.915347791,18512429.0,48624.0
56,Mali,2018,59.649,58.137,58.893,null,100.2030705,43.8,3.008065228,1.657158338,4.876388544,19077755.0,48199.0
57,Mexico,2005,77.999,72.575,75.3,null,59.90324307,null,1.415816979,0.111678012,1.824208785,106005199.0,44987.0
58,Mexico,2006,78.035,72.532,75.296,null,59.07172965,null,1.456213238,0.147672581,1.859028134,107560155.0,43211.0
59,Mexico,2007,78.039,72.447,75.255,-562404.0,58.13095805,null,1.486063532,0.177503138,1.882062923,109170503.0,41560.0
60,Mexico,2008,78.026,72.342,75.194,null,57.14931404,null,1.495369098,0.178242448,1.887215566,110815272.0,40080.0
61,Mexico,2009,78.004,72.233,75.128,null,56.22262413,null,1.476755803,0.159842847,1.86191342,112463886.0,38731.0
62,Mexico,2010,77.979,72.135,75.065,null,55.40225386,null,1.438140669,0.117173388,1.817966315,114092961.0,37469.0
63,Mexico,2011,77.952,72.056,75.011,null,54.61010188,null,1.39478997,0.051575849,1.774457245,115695468.0,36250.0
64,Mexico,2012,77.922,71.997,74.966,-422477.0,53.9484804,null,1.355294426,0.003052324,1.730975308,117274156.0,35073.0
65,Mexico,2013,77.89,71.958,74.93,null,53.38531012,null,1.315557607,-0.05522079,1.689832343,118827158.0,33910.0
66,Mexico,2014,77.86,71.943,74.908,null,52.8612318,null,1.277686366,-0.112142909,1.650565264,120355137.0,32728.0
67,Mexico,2015,77.837,71.954,74.904,null,52.3477207,null,1.241164502,-0.158599751,1.610136046,121858251.0,31538.0
68,Mexico,2016,77.826,71.99,74.917,null,51.9253744,null,1.203259506,-0.216377556,1.570874888,123333379.0,30368.0
69,Mexico,2017,77.827,72.046,74.947,-300000.0,51.46924186,null,1.16396695,-0.26617894,1.527731482,124777326.0,29178.0
70,Mexico,2018,77.844,72.118,74.992,null,51.01299485,41.9,1.126414791,-0.319440697,1.487613001,126190782.0,28010.0
71,Niger,2005,54.207,52.644,53.411,null,106.7642369,null,3.727929015,3.733897108,3.697157945,13624474.0,54068.0
72,Niger,2006,55.015,53.378,54.18,null,108.1052493,null,3.742057985,3.746830298,3.717444137,14143969.0,53134.0
73,Niger,2007,55.846,54.127,54.968,-20001.0,109.1158182,null,3.756576119,3.761358034,3.731905488,14685404.0,52212.0
74,Niger,2008,56.688,54.88,55.764,null,109.8632874,null,3.778529478,3.784491786,3.747758838,15250913.0,51328.0
75,Niger,2009,57.528,55.63,56.557,null,110.3839133,null,3.809666088,3.814443509,3.785002327,15843131.0,50485.0
76,Niger,2010,58.351,56.364,57.333,null,110.7010881,null,3.844166656,3.848944791,3.819491944,16464025.0,49717.0
77,Niger,2011,59.141,57.074,58.081,null,111.411299,null,3.876413583,3.882378617,3.845599417,17114770.0,49094.0
78,Niger,2012,59.886,57.752,58.79,18911.0,111.8027937,null,3.898743038,3.903518284,3.874066906,17795209.0,48672.0
79,Niger,2013,60.579,58.392,59.455,null,111.9387444,null,3.90731712,3.91208801,3.882656243,18504287.0,48391.0
80,Niger,2014,61.214,58.988,60.07,null,111.8628181,null,3.899846968,3.886720149,3.967682432,19240182.0,48300.0
81,Niger,2015,61.789,59.536,60.631,null,111.5987634,null,3.881451544,3.848025878,4.053937755,20001663.0,48248.0
82,Niger,2016,62.305,60.033,61.137,null,111.6027239,null,3.859843092,3.808485781,4.124171521,20788789.0,48327.0
83,Niger,2017,62.776,60.485,61.599,20001.0,111.3434055,null,3.839001312,3.767303574,4.206628355,21602388.0,48455.0
84,Niger,2018,63.212,60.9,62.024,null,110.8785121,40.8,3.816736721,3.72703474,4.274416048,22442831.0,48635.0
85,Nigeria,2005,49.028,47.504,48.252,null,86.6151583,null,2.585689132,1.18077297,4.816457888,138865014.0,547409.0
86,Nigeria,2006,49.57,48.078,48.812,null,87.10568311,null,2.610843162,1.17425369,4.810457445,142538305.0,543784.0
87,Nigeria,2007,50.121,48.648,49.373,-300000.0,87.44536813,null,2.632171268,1.162814117,4.801594103,146339971.0,540903.0
88,Nigeria,2008,50.658,49.191,49.913,null,87.66870041,null,2.649867728,1.146592037,4.790010703,150269622.0,539660.0
89,Nigeria,2009,51.171,49.696,50.422,null,87.80764002,null,2.662921245,1.131476861,4.765264256,154324939.0,539539.0
90,Nigeria,2010,51.656,50.161,50.896,null,87.87658552,null,2.67144283,1.105564143,4.74429723,158503203.0,540794.0
91,Nigeria,2011,52.12,50.596,51.346,null,88.24452404,null,2.67788557,1.097882449,4.695120177,162805080.0,542836.0
92,Nigeria,2012,52.579,51.019,51.786,-300000.0,88.49244326,null,2.680929555,1.086520032,4.645014809,167228803.0,545541.0
93,Nigeria,2013,53.042,51.442,52.228,null,88.59181475,null,2.67690791,1.071512624,4.585813757,171765819.0,548739.0
94,Nigeria,2014,53.506,51.865,52.672,null,88.49848686,null,2.665006503,1.04850654,4.52112943,176404931.0,551797.0
95,Nigeria,2015,53.967,52.286,53.112,null,88.20359564,null,2.647406072,1.019684861,4.452980719,181137454.0,554557.0
96,Nigeria,2016,54.415,52.696,53.541,null,88.15400492,null,2.627675151,0.994456544,4.378634932,185960244.0,555616.0
97,Nigeria,2017,54.843,53.086,53.95,-300000.0,87.83665152,null,2.607667054,0.965162333,4.310320519,190873247.0,554698.0
98,Nigeria,2018,55.244,53.45,54.332,null,87.31508612,40.1,2.586551303,0.938771667,4.238852265,195874685.0,551611.0
99,Ethiopia,2005,57.639,54.846,56.223,null,98.42904179,null,2.798323914,2.566089795,4.05459517,76346310.0,205677.0
100,Ethiopia,2006,58.796,55.912,57.334,null,97.84425716,null,2.768139897,2.531799211,4.027689706,78489205.0,196895.0
101,Ethiopia,2007,59.983,56.991,58.467,-50132.0,97.04249206,null,2.745949471,2.487593551,4.1015815,80674343.0,188757.0
102,Ethiopia,2008,61.155,58.046,59.581,null,95.98480477,null,2.741029927,2.270226336,5.156403082,82916236.0,181356.0
103,Ethiopia,2009,62.277,59.05,60.645,null,94.67307574,null,2.756861848,2.276612361,5.150746526,85233923.0,174702.0
104,Ethiopia,2010,63.315,59.976,61.627,null,93.17432637,29.6,2.783756927,2.290303606,5.173659618,87639962.0,168763.0
105,Ethiopia,2011,64.244,60.804,62.505,null,91.35663428,null,2.812613737,2.30820545,5.186204765,90139928.0,163338.0
106,Ethiopia,2012,65.065,61.534,63.281,399997.0,89.49834377,null,2.829627968,2.311665346,5.197758315,92726982.0,158244.0
107,Ethiopia,2013,65.783,62.176,63.961,null,87.62243351,null,2.827014885,2.318637991,5.086535939,95385793.0,153408.0
108,Ethiopia,2014,66.399,62.73,64.547,null,85.75308325,null,2.799924688,2.279074426,5.051635482,98094264.0,148951.0
109,Ethiopia,2015,66.926,63.207,65.048,null,83.91972458,23.5,2.756111616,2.223845924,4.994275467,100835453.0,144651.0
110,Ethiopia,2016,67.378,63.622,65.482,null,82.46098002,null,2.708072653,2.162976242,4.937514135,103603461.0,140339.0
111,Ethiopia,2017,67.784,63.997,65.872,150002.0,80.95823165,null,2.663414482,2.107802372,4.873777271,106399926.0,136197.0
112,Ethiopia,2018,68.165,64.35,66.24,null,79.48202645,null,2.619969171,2.049894896,4.825886034,109224410.0,132502.0
113,Pakistan,2005,64.89,63.102,63.951,null,78.80890081,50.4,2.296421618,1.99242178,2.889667389,160304007.0,384015.0
114,Pakistan,2006,65.124,63.317,64.176,null,77.5144637,null,2.293232554,1.986787089,2.885903654,164022626.0,381280.0
115,Pakistan,2007,65.374,63.552,64.42,-339805.0,76.19157975,44.1,2.281671865,1.972759519,2.873760759,167808106.0,378820.0
116,Pakistan,2008,65.644,63.809,64.685,null,74.85708341,null,2.263050049,1.953179782,2.851655189,171648984.0,376599.0
117,Pakistan,2009,65.931,64.086,64.969,null,73.5251822,null,2.233335732,1.922503861,2.81849362,175525610.0,374353.0
118,Pakistan,2010,66.228,64.377,65.264,null,72.21397002,36.8,2.197034544,1.883694139,2.781647488,179424643.0,371903.0
119,Pakistan,2011,66.526,64.672,65.562,null,71.1830779,36.3,2.158796524,1.842927807,2.742852677,183340168.0,369184.0
120,Pakistan,2012,66.813,64.959,65.849,-1079167.0,70.16069108,null,2.126222177,1.807804489,2.709711009,187280125.0,366119.0
121,Pakistan,2013,67.08,65.226,66.117,null,69.16714373,29.5,2.103244584,1.785363674,2.680539204,191260799.0,362935.0
122,Pakistan,2014,67.323,65.468,66.36,null,68.2266035,null,2.092456416,1.772003068,2.669230486,195305012.0,359330.0
123,Pakistan,2015,67.543,65.684,66.577,null,67.35461573,24.3,2.088551827,1.765505106,2.664794172,199426953.0,355133.0
124,Pakistan,2016,67.742,65.872,66.77,null,66.70480339,null,2.086326177,1.760663961,2.662027388,203631356.0,350501.0
125,Pakistan,2017,67.928,66.041,66.947,-1166895.0,66.09214535,null,2.077578387,1.750852973,2.649982798,207906210.0,345261.0
126,Pakistan,2018,68.109,66.194,67.114,null,65.51520226,21.9,2.057546095,1.704489607,2.670340009,212228288.0,339097.0
