,id,peopleUsingBasicDrinkingWaterServices,peoplePracticingOpenDefecation,peopleUsingBasicSanitationServices,peopleUsingSafeSanitationServices,ruralPeopleUsingBasicSanitationServices,urbanPeopleUsingBasicSanitationServices,peopleWithBasicHandwashingFacilities,ruralPeopleWithBasicHandwashingFacilities,urbanPeopleWithBasicHandwashingFacilities,maleUnemploymentRate,femaleUnemploymentRate,totalUnemploymentRate,yearsOfMaternalLeave
43,44,10.45325267,82.40952561,28.62128076,7.77945876,5.866489062,4.726030807,20.09615147,7.890476218,4.825143381,4.789999962,4.940000057,,20.25518999
44,45,10.95876046,82.86006531,25.68658391,8.066773108,6.074356692,4.919323402,20.41636787,7.958985824,4.825143381,4.309999943,4.400000095,,20.25518999
45,46,11.48156823,83.31079563,22.77022398,8.350931686,6.279053616,5.105006084,20.73822703,8.0288839,4.825143381,3.839999914,3.950000048,,20.25518999
46,47,12.02134693,83.76171659,19.87282118,8.632097142,6.480693308,5.283078853,21.06172895,8.100170589,4.825143381,3.609999895,3.720000029,,20.25518999
47,48,12.57741919,84.21282816,16.99517615,8.910277929,6.679274945,5.453541707,21.38687365,8.172691862,4.825143381,8.350000381,7.800000191,,20.25518999
48,49,,80.90382236,16.68550443,22.18828766,9.398892124,13.9781422,39.58683043,,,,,,
49,50,,81.90430977,15.8207364,23.5713536,10.07965255,15.25776984,40.57935571,,,,,,
50,51,,82.90485737,14.9663647,24.982076,10.7673983,16.57653442,41.58409452,,,12.77000046,10.57999992,,
51,52,,83.90546518,14.12205598,26.42048985,11.46107647,17.93443595,42.60104687,,,,,,
52,53,,84.90613319,13.28889115,27.88463013,12.15677504,19.33147442,43.63021274,,,,,,
53,54,,85.9068614,12.46764187,29.37283026,12.85689472,20.76764983,44.67159216,,,11.10999966,6.039999962,,
54,55,,86.90764982,11.6585056,30.88418517,13.56074692,22.24296219,45.7251851,,,,,,
55,56,,87.90849844,10.86164766,32.41780818,14.26768035,23.7574115,46.79099158,,,,,,
56,57,,88.90940727,10.07720255,33.9728243,14.97708308,25.31099775,47.86901159,,,8.239999771,4.550000191,,
57,58,,89.9103763,9.305148874,35.54860433,15.68827712,26.90372095,48.95924514,16.17723713,9.120374815,6.300000191,6.440000057,,27.12441149
58,59,,90.91140553,8.545702303,37.14408722,16.40083107,28.53558109,50.06169222,16.32036872,9.120374815,8.739999771,6.860000134,,27.12441149
59,60,,91.91249497,7.798794424,38.7586803,17.11413871,30.20657817,51.17635283,16.46296063,9.120374815,1.299999952,1.419999957,,27.12441149
