,id,primarySchoolEnrollment,secondarySchoolEnrollment,femalePrimaryCompletionRate,malePrimaryCompletionRate,adultFemaleLiteracyRate,adultMaleLiteracyRate,youthFemaleLiteracyRate,youthMaleLiteracyRate,maleChildrenOutOfPrimarySchool,femaleChildrenOutOfPrimarySchool,femaleAdolescentsOutOfPrimarySchool,maleAdolescentsOutOfPrimarySchool
69,70,62.70835876,13.04246998,34.00812912,45.15419006,2.721950054,,,,,51.26453018,38.66656113,82.10620117
70,71,66.51894379,13.88327026,37.61721039,50.86676025,3.077620029,,,,,46.6155014,33.84292984,82.45749664
71,72,68.39437103,15.05933952,41.5736084,53.79634857,3.18682003,22.55129051,39.05868912,31.64390945,48.5571785,44.61800003,33.23477936,
72,73,69.14922333,16.25382042,42.24362183,53.00437164,3.689529896,,,,,44.68415833,33.83792877,
73,74,69.57597351,18.20435905,50.74103928,64.23919678,5.103680134,,,,,44.24528122,34.19721985,75.17014313
74,75,71.59590912,20.09321976,61.38932037,74.58405304,4.485899925,,,,,42.78990173,32.3970108,73.46779633
75,76,73.43232727,23.12496948,65.04421997,77.9905777,2.970959902,,,,,41.66358185,31.3653698,70.19786072
76,77,74.73619843,24.25374985,,,2.577159882,,,,,38.52128983,28.66439056,69.05776215
77,78,,,,,3.44698,26.64999962,43.59405899,35.56000137,51.06999969,,,
78,79,66.4154129,,57.30694962,67.05831909,3.523169994,,,,,44.90652847,37.26940918,
79,80,,,48.60884094,53.69749832,,,,,,,,
80,81,101.3650818,34.95774841,74.98071289,91.01863098,,,,,,36.34708023,27.08182907,
81,82,102.1081314,34.45698166,80.22299194,101.6903992,,64.25449371,76.13186646,74.50440216,83.12365723,35.26483917,27.22335052,
82,83,93.31004333,31.86770058,71.60855865,90.07288361,,,,,,35.98886871,20.94112015,
83,84,84.13864136,35.38618088,64.11502838,75.32872009,,41.38676071,61.25405121,57.95389175,75.56594086,41.75543976,28.69161034,
84,85,85.38784027,39.23279953,68.44174194,78.98457336,,,,,,40.43941116,27.8200798,
85,86,85.11785126,44.2182312,68.93570709,78.48284149,,,,,,39.99406052,28.26112938,
86,87,90.67124176,45.55653,,,,,,,,,,
87,88,92.09114075,47.18077087,,,,,,,,,,
88,89,94.11853027,56.20539856,,,,,,,,,,
89,90,90.10355377,45.6240387,,,,,,,,,,
90,91,,46.7820015,,,,,,,,,,
91,92,84.72563934,42.00254059,,,,,,,,,,
92,93,,,,,,,,,,,,
93,94,87.45423126,43.51113892,,,,52.65647888,71.25570679,68.26262665,81.5806427,,,
94,95,,,,,,,,,,,,
95,96,,,,,,,,,,,,
96,97,73.93554688,25.83254051,33.93220901,50.39839172,3.52218008,,,,,49.92692184,36.92433167,
97,98,76.76000977,27.7074604,38.48797989,55.9457016,,18.19091034,34.85789108,30.79846001,47.37997055,48.15686035,36.05458069,
98,99,79.28751373,30.30554008,41.38092041,59.01319122,,,,,,45.82435989,34.097229,
99,100,81.27266693,33.73199081,45.01737976,60.65114975,3.403559923,,,,,,,
100,101,82.71041107,36.67198944,47.38370895,61.39115143,3.869040012,,,,,38.75017929,26.91245079,61.77838135
101,102,83.42733002,39.28609848,50.7020607,64.26741791,3.343889952,20.28792953,43.40063095,33.94570923,56.37126923,37.26974869,26.2585392,59.89955139
102,103,84.19554901,41.2325592,51.73067856,64.64402008,3.754230022,18.90468979,43.52046967,29.6953907,56.31502151,35.86249924,25.67160034,57.14865875
103,104,80.90805054,,49.82756042,59.15164185,3.479490042,,,,,37.71403885,28.31484032,
104,105,76.06292725,41.81766891,,,3.284650087,,,,,,,
105,106,77.07611084,44.0181694,49.74921036,56.56879044,3.648190022,,,,,40.43680954,32.66093826,51.93048096
106,107,75.68318176,41.72013855,48.04561996,53.72679138,3.801520109,22.19581032,45.06592178,39.20775986,60.52548981,43.12049103,35.57678986,48.37828827
107,108,77.17025757,42.99298096,47.86235809,54.13811874,3.094779968,,,,,42.06246185,33.79034042,51.09178925
108,109,80.17077637,41.52313995,47.1409111,52.01531982,3.789769888,,,,,36.38438034,28.92445946,58.31029129
